,Month,Day,Temp ,Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Weather,Binary Weather,Hour,Discrete Weather
0,12,17,3.7,0.4,79,8,18,24.1,100.16,29,-9,Good Weather,Good Weather,15,1
1,7,30,18.9,12.8,67,29,16,24.1,100.1,29,-9,Good Weather,Good Weather,9,1
2,12,16,0.2,-4.5,71,8,14,24.1,101.72,29,-9,Cloudy,Bad Weather,19,0
3,3,5,0.4,-4.4,70,28,8,24.1,100.84,29,-9,Good Weather,Good Weather,23,1
4,8,18,14.5,12.9,90,27,27,24.1,99.25,29,-9,Cloudy,Bad Weather,22,0
5,7,31,12.7,12.3,97,18,7,24.1,99.91,29,-9,Good Weather,Good Weather,0,1
6,12,4,-0.8,-1.2,97,6,18,3.2,98.7,29,-6,Snow,Bad Weather,1,0
7,6,2,21.5,15.3,67,35,16,24.1,100.28,26,-9,Good Weather,Good Weather,5,1
8,7,3,20.6,19.5,93,20,5,24.1,99.79,28,-9,Mainly Clear,Good Weather,22,1
9,2,20,-7.7,-15.5,54,1,21,24.1,99.51,29,-15,Mainly Clear,Good Weather,22,1
10,6,13,14.8,10,73,16,8,24.1,99.12,29,-9,Good Weather,Good Weather,21,1
11,2,24,-14.6,-22.9,50,29,14,24.1,102.07,29,-22,Clear,Good Weather,19,1
12,11,29,-8.2,-12,75,24,13,24.1,99.99,29,-14,Good Weather,Good Weather,2,1
13,10,6,18.8,15.4,81,16,19,24.1,99.77,29,-9,Cloudy,Bad Weather,7,0
14,3,3,-7.3,-12.8,65,32,17,24.1,100.34,29,-14,Clear,Good Weather,1,1
15,6,8,13.3,11.9,92,32,8,24.1,99.48,29,-9,Good Weather,Good Weather,21,1
16,6,16,24.8,11.2,42,36,27,12.9,99.22,27,-9,Mostly Cloudy,Bad Weather,13,0
17,4,11,9.5,1.7,58,19,13,24.1,100.22,29,-9,Cloudy,Bad Weather,7,0
18,3,14,1.1,0.3,95,33,20,9.7,99.47,29,-9,Snow,Bad Weather,16,0
19,11,22,1.7,1.6,99,30,20,0.6,99.4,29,-9,Fog,Bad Weather,20,0
20,7,14,16.2,14.6,90,20,8,24.1,99.6,29,-9,Good Weather,Good Weather,0,1
21,6,20,14.3,11.6,84,10,9,24.1,100.79,29,-9,Good Weather,Good Weather,0,1
22,3,6,2.3,-6.7,52,30,22,24.1,100.65,29,-9,Good Weather,Good Weather,14,1
23,5,25,16.5,-1.1,30,2,17,24.1,101.06,29,-9,Good Weather,Good Weather,14,1
24,10,9,5.1,3.4,89,19,23,16.1,98.39,29,-9,Rain,Bad Weather,3,0
25,12,29,3.2,3.2,100,23,5,0.8,99.04,29,-9,"Drizzle,Fog",Bad Weather,10,0
26,11,29,-8.8,-12.8,73,24,13,24.1,99.97,29,-15,Mainly Clear,Good Weather,1,1
27,3,14,1.3,0.7,96,36,16,6.4,99.47,29,-9,"Rain,Snow,Fog",Bad Weather,11,0
28,9,24,24.1,13.6,52,6,20,24.1,100.67,27,-9,Good Weather,Good Weather,15,1
29,12,10,4,3.9,99,23,13,8.1,99.55,29,-9,Fog,Bad Weather,13,0
30,3,10,-3.5,-8.8,67,7,6,24.1,99.86,29,-6,Good Weather,Good Weather,18,1
31,1,4,1,-0.4,91,4,11,24.1,99.64,29,-9,Rain,Bad Weather,1,0
32,6,16,22,14,60,28,11,6.4,99.35,25,-9,Smoke,Bad Weather,11,0
33,9,21,13.2,8.6,74,19,5,24.1,101.33,29,-9,Good Weather,Good Weather,21,1
34,6,3,21,1.7,27,8,36,24.1,100.81,29,-9,Mainly Clear,Good Weather,16,1
35,3,22,0.2,-8.6,52,6,19,24.1,101.01,29,-9,Good Weather,Good Weather,14,1
36,7,30,16.9,12.5,75,28,12,24.1,100.09,29,-9,Good Weather,Good Weather,8,1
37,10,12,10.8,2.5,57,27,26,24.1,99.94,29,-9,Mostly Cloudy,Bad Weather,13,0
38,5,19,21.4,10.8,50,21,20,24.1,100.19,29,-9,Cloudy,Bad Weather,16,0
